CAMPO_OFICIAL,CAMPO_SIH,UBICACION,CUENCA,FECHA,CATEGORIA,PETROLEO_MMB,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,GAS_MMMPC
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2010,PROBADAS,11.559882,15.314723,19.102185
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2010,PROBABLES,10.656846,15.389447999999998,24.076393000000003
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2010,POSIBLES,0.0,0.0,0.0
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2011,PROBADAS,11.143313,14.386207,16.860596
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2011,PROBABLES,41.661275,62.280778,107.205819
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2011,POSIBLES,0.0,0.0,0.0
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2012,PROBADAS,23.962088,32.384394,44.183172
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2012,PROBABLES,155.518536,207.66288500000002,273.547738
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2012,POSIBLES,0.0,0.0,0.0
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2013,PROBADAS,45.229198,60.320667,78.992102
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2013,PROBABLES,118.17655200000002,159.911515,218.45005700000002
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2013,POSIBLES,0.0,0.0,0.0
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2014,PROBADAS,41.745741,57.956458,89.098746
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2014,PROBABLES,43.601713999999994,48.734066999999996,28.20888099999999
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2014,POSIBLES,74.487424,109.04945200000002,189.96280900000002
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2015,PROBADAS,38.056641,54.253902,90.403962
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2015,PROBABLES,43.575889000000004,48.625947,28.186573999999993
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2015,POSIBLES,74.459891,108.47461400000002,189.850973
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2016,PROBADAS,17.942488,22.226983,25.34667
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2016,PROBABLES,68.929941,88.408818,115.235193
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2016,POSIBLES,81.149975,106.273677,148.62944299999998
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2017,PROBADAS,5.938144,6.814664,6.687784
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2017,PROBABLES,85.922297,103.344093,132.92697900000002
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2017,POSIBLES,74.402947,92.14305800000001,135.355692
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2018,PROBADAS,5.012339,6.185045,5.804422
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2018,PROBABLES,72.329753,94.711377,110.78011099999999
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2018,POSIBLES,57.832763000000014,76.59589299999999,92.86999700000001
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2019,PROBADAS,15.514494,18.567719,14.943114
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2019,PROBABLES,27.241994,33.956491,32.862131999999995
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2019,POSIBLES,2.0453390000000056,2.3456990000000033,1.4700260000000043
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2020,PROBADAS,4.301087,5.46097,5.854992
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2020,PROBABLES,22.713613000000002,28.235122,27.872111
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2020,POSIBLES,2.0453389999999985,2.336553000000002,1.4700259999999972
